Dataset,Model,Best KID,Total Train (min),Avg Sample (s)
Flowers102,DDIM,0.049473938,38.131907575166665,2.19174769404
Flowers102,WGAN-Fast,0.2164773941040039,4.412977540493012,0.3530749416351318
Flowers102,WGAN-Quality,0.1173176765441894,51.42541257143021,0.3503891658782959
MNIST,DDIM,0.016217915,56.20948248283334,2.19067969322
MNIST,WGAN-Fast,0.0182325839996337,34.30060799121857,0.3445059061050415
MNIST,WGAN-Quality,0.012068,478.862,0.3176
