Epoch,KID,Training_Time_Sec,Sampling_Time_Sec
1,0.5079131126403809,72.69584512710571,0.3121070861816406
2,0.4607119560241699,61.55349254608154,0.3116135597229004
3,0.4487285614013672,61.547685861587524,0.3139464855194092
4,0.3220489025115967,61.79323220252991,0.31476426124572754
5,0.2726576328277588,61.71690630912781,0.31237030029296875
6,0.2606043815612793,61.32529640197754,0.3137226104736328
7,0.2315366268157959,61.46829557418823,0.3108193874359131
8,0.25948047637939453,61.1895637512207,0.3083310127258301
9,0.2552762031555176,61.50646615028381,0.31041574478149414
10,0.2497727870941162,62.018410205841064,0.3179175853729248
11,0.24329733848571777,61.59112024307251,0.8246622085571289
12,0.25771498680114746,61.36461162567139,0.31577086448669434
13,0.23021197319030762,61.29501414299011,0.310701847076416
14,0.24649453163146973,61.75008416175842,0.31432676315307617
15,0.23714256286621094,61.8023841381073,0.3118257522583008
16,0.23280858993530273,61.837406873703,0.31270766258239746
17,0.2315692901611328,61.65709733963013,0.3202176094055176
18,0.2269594669342041,61.39312267303467,0.3130791187286377
19,0.2013533115386963,61.79690194129944,0.3147449493408203
20,0.2057042121887207,61.66931104660034,0.31267595291137695
21,0.20883941650390625,61.65760159492493,0.30977678298950195
22,0.18342232704162598,61.27813172340393,0.31340909004211426
23,0.19446825981140137,61.45729398727417,0.3139052391052246
24,0.19793701171875,61.492708683013916,0.9410021305084229
25,0.2073369026184082,61.608124017715454,0.3128852844238281
26,0.18090057373046875,61.34659671783447,0.3122868537902832
27,0.19736671447753906,61.42736554145813,0.31165456771850586
28,0.18322086334228516,61.461320638656616,0.3122856616973877
29,0.18490815162658691,61.55549693107605,0.3117716312408447
30,0.161391019821167,61.22720766067505,0.31119203567504883
31,0.16874074935913086,61.27255725860596,0.3117203712463379
32,0.20343518257141113,61.39834547042847,0.3114204406738281
33,0.1699674129486084,61.17375111579895,0.30892395973205566
34,0.13556146621704102,61.56752014160156,0.3125627040863037
35,0.1709456443786621,61.743966817855835,0.3110027313232422
36,0.15109491348266602,61.33815574645996,0.3081827163696289
37,0.1665053367614746,61.329511880874634,0.3129231929779053
38,0.16515302658081055,61.11200952529907,0.318359375
39,0.16405773162841797,61.35607671737671,0.30942583084106445
40,0.13393163681030273,61.66473412513733,1.0686211585998535
41,0.15683555603027344,61.547003746032715,0.31290459632873535
42,0.12761306762695312,61.164026975631714,0.31228065490722656
43,0.15392637252807617,61.3081259727478,0.310955286026001
44,0.15962910652160645,61.48361396789551,0.3142428398132324
45,0.11731767654418945,61.542967557907104,0.30928516387939453
46,0.1503162384033203,61.06507158279419,0.3121674060821533
47,0.12546062469482422,61.630388021469116,0.31033849716186523
48,0.16639113426208496,61.3400764465332,0.31488037109375
49,0.14725947380065918,61.45491552352905,0.3117940425872803
50,0.11848711967468262,61.547839879989624,0.3105769157409668
