Epoch,KID,Training_Time_Sec,Sampling_Time_Sec
1,0.6183521747589111,11.975974798202515,0.3550560474395752
2,0.6023788452148438,5.184355020523071,0.30102086067199707
3,0.45743441581726074,5.149255752563477,0.5726406574249268
4,0.4711747169494629,5.0628883838653564,0.3070642948150635
5,0.4584167003631592,5.1202123165130615,0.30798888206481934
6,0.5184938907623291,5.1733081340789795,0.3077664375305176
7,0.5502650737762451,5.248301982879639,0.30963826179504395
8,0.5479114055633545,5.260378837585449,0.31183862686157227
9,0.5375239849090576,5.150671005249023,0.31093549728393555
10,0.5483834743499756,5.063355207443237,0.3099329471588135
11,0.531867265701294,5.127188205718994,0.6277594566345215
12,0.5906457901000977,5.22419810295105,0.3114206790924072
13,0.6499571800231934,5.347384214401245,0.31224679946899414
14,0.6218142509460449,5.0678887367248535,0.31380581855773926
15,0.6110324859619141,5.158970594406128,0.3103013038635254
16,0.516021728515625,5.1088690757751465,0.3105640411376953
17,0.4958174228668213,5.138538837432861,0.3102450370788574
18,0.4058980941772461,5.123929023742676,0.3089289665222168
19,0.3781309127807617,5.063608884811401,0.30911803245544434
20,0.34363460540771484,5.1526780128479,0.7014584541320801
21,0.358959436416626,5.20541787147522,0.3114900588989258
22,0.32080841064453125,5.25248122215271,0.3097054958343506
23,0.3303101062774658,5.0616161823272705,0.31124162673950195
24,0.34400486946105957,5.142840147018433,0.3119809627532959
25,0.30744409561157227,5.111483812332153,0.31601476669311523
26,0.32460832595825195,5.144336223602295,0.31212735176086426
27,0.31351423263549805,5.064943075180054,0.3138144016265869
28,0.29952073097229004,5.1804845333099365,0.31241822242736816
29,0.2791862487792969,5.14747428894043,0.319321870803833
30,0.28542637825012207,5.0626842975616455,0.310405969619751
31,0.31458139419555664,5.084630966186523,0.31152963638305664
32,0.2915506362915039,5.086834669113159,0.7894754409790039
33,0.2781665325164795,5.166945695877075,0.311542272567749
34,0.24974703788757324,5.33121132850647,0.30934619903564453
35,0.26381731033325195,5.189576625823975,0.315371036529541
36,0.2517983913421631,5.191417217254639,0.312985897064209
37,0.2669672966003418,5.133685350418091,0.3116567134857178
38,0.25237393379211426,5.102962017059326,0.31374120712280273
39,0.2575259208679199,5.164029359817505,0.3123650550842285
40,0.2376561164855957,5.131523370742798,0.3133847713470459
41,0.24791598320007324,5.280075311660767,0.31107497215270996
42,0.2507181167602539,5.233557224273682,0.3175830841064453
43,0.2536282539367676,5.222135066986084,0.3144524097442627
44,0.26171135902404785,5.196221113204956,0.3113362789154053
45,0.24918317794799805,5.123978853225708,0.31142401695251465
46,0.23918557167053223,5.21034836769104,0.3127171993255615
47,0.2481846809387207,5.185198068618774,0.9022438526153564
48,0.2421576976776123,5.161635637283325,0.3108561038970947
49,0.2164773941040039,5.099835634231567,0.31032228469848633
50,0.22966742515563965,5.207133769989014,0.312086820602417
